,rain_GSMaP,rain_IMERG,rain_Oya,rain_ERA5_Land,rain_ERA5_ML,rain_Open-Meteo,rain_IoT_id05
rain_GSMaP,1.0,0.40927749363434746,0.38645242423912884,0.19665852885346868,0.1779874178436734,0.17831107115303677,0.19126353815518873
rain_IMERG,0.40927749363434746,1.0,0.5129355215596005,0.2004916643874147,0.1855316941925181,0.18659667579679967,0.2941696093512476
rain_Oya,0.38645242423912884,0.5129355215596005,1.0,0.17673637572368286,0.15840558641844388,0.16002036013166746,0.38610325244816923
rain_ERA5_Land,0.19665852885346868,0.2004916643874147,0.17673637572368286,1.0,0.9691542245528816,0.9693165224409317,0.20250391218090788
rain_ERA5_ML,0.1779874178436734,0.1855316941925181,0.15840558641844388,0.9691542245528816,1.0,0.9993490350104421,0.21166207139177035
rain_Open-Meteo,0.17831107115303677,0.18659667579679967,0.16002036013166746,0.9693165224409317,0.9993490350104421,1.0,0.21192859818460563
rain_IoT_id05,0.19126353815518873,0.2941696093512476,0.38610325244816923,0.20250391218090788,0.21166207139177035,0.21192859818460563,1.0
