Buffer,Pearson (r),Spearman (rho),RMSE,PBIAS (%),NSE
rain_point_mmhr,0.38610325244817073,0.3910783104407131,2.7160009946448254,36.21008699000468,-0.26662852998883846
rain_mean_5km_mmhr,0.3834852168712761,0.3899601619735462,2.6910037594531944,36.86722363104423,-0.24342050707956386
rain_mean_10km_mmhr,0.37591570310512534,0.38032329534088993,2.6757077835808474,38.5810279102176,-0.22932518969065807
rain_mean_15km_mmhr,0.3643800659407909,0.36906523146040315,2.661688488491676,40.94831011174078,-0.21647690823113064
rain_mean_20km_mmhr,0.3521759457187222,0.3560286075896335,2.649115253915147,43.9761127237392,-0.205011310844462
rain_mean_25km_mmhr,0.3399214721804018,0.34345260025540236,2.6356949556589866,47.141640561652636,-0.19283317035495418
