Variable,Model/Dataset,MBE,MAE,RMSE,Pearson r,Spearman rho,R2
Rain,GSMaP,-0.016813175166170143,0.525224461656627,1.4996537333113824,0.3082835388313739,0.34082829564226413,0.09503874031439521
Rain,IMERG,0.5133655144831825,0.8804163235930356,2.8260482626253753,0.4104559441252583,0.3377089913916444,0.16847408206775719
Rain,ERA5_Reanalisis,0.007378178758748846,0.6284876623100695,1.8787575346888858,0.09922222396777454,0.1944149368763114,0.009845049729111212
